,Location,Total Land Area (acres),Number of Cows,Farm Size,Quantity (liters/kg),Price per Unit,Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Sales Channel,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg)
1085,Rajasthan,579.79,36,Large,364.58,24.23,47,20.5,963.5,Online,317,26.38,198.16
1086,Uttar Pradesh,94.32,69,Small,571.41,10.65,383,7.52,2880.16,Wholesale,188,32.7,188.88
1087,Haryana,257.5,18,Small,666.76,26.74,170,28.94,4919.8,Wholesale,496,41.77,184.68
1088,Gujarat,811.44,89,Large,579.68,38.67,249,40.03,9967.47,Online,330,60.27,194.73
1089,Jharkhand,579.49,10,Small,357.71,13.56,75,11.13,834.75,Retail,282,38.45,61.3
1090,Karnataka,472.41,71,Medium,465.69,67.14,205,63.46,13009.3,Wholesale,260,37.2,149.18
1091,Gujarat,177.08,62,Small,913.61,15.27,678,15.55,10542.9,Online,235,78.92,163.03
1092,Madhya Pradesh,824.44,53,Medium,987.87,98.83,39,102.78,4008.42,Online,948,45.84,144.69
1093,Maharashtra,993.49,94,Medium,980.37,94.48,207,99.33,20561.31,Wholesale,773,83.1,58.47
1094,Jharkhand,576.49,10,Large,713.73,78.54,16,77.74,1243.84,Online,697,60.33,101.91
1095,Maharashtra,698.76,75,Small,301.53,74.91,189,77.77,14698.53,Online,112,34.65,195.36
1096,Maharashtra,51.68,54,Large,529.54,45.99,360,46.18,16624.8,Wholesale,169,69.05,150.07
1097,Karnataka,145.3,10,Small,703.07,10.6,482,7.88,3798.16,Online,221,53.52,41.09
1098,Kerala,902.72,45,Small,367.53,99.42,114,103.89,11843.46,Online,253,76.45,170.28
1099,Bihar,385.92,100,Medium,419.53,57.48,131,62.33,8165.23,Wholesale,288,60.17,83.07
1100,Gujarat,89.68,55,Large,417.64,86.3,297,82.12,24389.64,Online,120,57.61,175.15
1101,Chandigarh,767.61,95,Small,572.36,26.01,433,25.84,11188.72,Retail,139,66.08,148.41
1102,Rajasthan,300.7,74,Small,889.71,66.03,435,63.8,27753.0,Wholesale,454,23.63,135.1
1103,West Bengal,478.53,63,Medium,191.18,27.36,101,23.43,2366.43,Retail,90,41.42,30.7
1104,Karnataka,917.92,40,Small,655.82,20.67,572,20.35,11640.2,Wholesale,83,61.5,198.56
1105,Kerala,858.33,62,Large,706.46,17.06,132,13.14,1734.48,Wholesale,574,59.72,165.01
1106,Kerala,570.81,82,Small,108.89,64.2,30,63.82,1914.6,Retail,78,27.47,45.68
1107,Madhya Pradesh,260.72,61,Large,686.89,59.66,108,60.78,6564.24,Retail,578,20.37,146.29
1108,Chandigarh,819.96,33,Medium,241.72,89.69,28,94.49,2645.72,Wholesale,213,83.24,113.84
1109,Delhi,739.45,74,Large,918.58,50.95,873,47.22,41223.06,Retail,45,93.71,115.38
1110,Gujarat,543.8,95,Medium,34.25,28.84,15,24.73,370.95,Retail,19,34.08,80.79
1111,Bihar,226.8,22,Small,686.96,12.28,223,11.52,2568.96,Online,463,35.56,192.73
1112,Tamil Nadu,42.0,31,Medium,337.04,12.37,205,11.42,2341.1,Wholesale,132,40.98,139.86
1113,Gujarat,293.24,71,Large,326.05,12.76,309,7.87,2431.83,Wholesale,17,43.61,78.43
1114,Chandigarh,33.42,19,Medium,265.11,62.01,23,65.87,1515.01,Wholesale,242,36.44,89.1
1115,Maharashtra,685.89,89,Medium,726.46,73.27,570,71.7,40869.0,Retail,156,76.25,152.96
1116,Maharashtra,646.44,12,Medium,382.14,69.56,9,67.53,607.77,Online,373,17.35,27.42
1117,Chandigarh,413.79,77,Small,388.29,92.96,316,88.32,27909.12,Retail,72,88.44,45.68
1118,Madhya Pradesh,414.28,87,Medium,805.79,18.12,759,22.8,17305.2,Online,46,43.47,54.45
1119,Chandigarh,356.21,75,Medium,831.19,15.25,667,10.39,6930.13,Retail,164,72.07,120.19
1120,Kerala,512.36,35,Medium,186.61,51.15,10,52.48,524.8,Retail,176,96.53,154.51
1121,Delhi,521.48,93,Large,461.49,52.91,236,50.54,11927.44,Online,225,61.02,111.99
1122,Jharkhand,723.9,10,Large,565.42,60.31,305,60.69,18510.45,Wholesale,260,94.66,181.13
1123,Madhya Pradesh,577.8,95,Medium,282.82,34.69,137,36.59,5012.83,Retail,145,88.84,94.22
1124,Chandigarh,500.47,72,Small,911.07,48.44,811,45.35,36778.85,Online,100,93.82,135.17
1125,Karnataka,247.86,84,Medium,306.44,75.38,81,76.66,6209.46,Retail,225,98.87,182.21
1126,Bihar,942.15,57,Large,675.45,22.47,292,24.91,7273.72,Wholesale,383,80.51,102.34
1127,Chandigarh,70.73,65,Large,804.02,19.79,226,24.18,5464.68,Wholesale,578,44.14,189.47
1128,Delhi,503.36,63,Large,439.44,89.69,120,85.57,10268.4,Retail,319,64.77,153.54
1129,Delhi,22.6,83,Large,823.35,87.87,275,91.27,25099.25,Wholesale,548,78.39,115.46
1130,Rajasthan,984.93,28,Medium,985.36,34.23,564,29.85,16835.4,Retail,421,92.82,146.29
1131,Jharkhand,512.24,79,Small,566.67,44.4,328,42.42,13913.76,Online,238,98.78,63.54
1132,Gujarat,286.31,47,Medium,183.27,97.13,91,98.63,8975.33,Wholesale,92,38.66,115.29
1133,Chandigarh,250.44,84,Small,220.73,32.27,126,31.0,3906.0,Wholesale,94,59.37,49.95
1134,Chandigarh,235.07,48,Small,62.63,40.31,5,43.88,219.4,Wholesale,57,21.06,54.67
1135,Bihar,310.35,58,Medium,110.64,23.51,78,26.4,2059.2,Retail,32,91.86,98.69
1136,Delhi,412.92,26,Large,276.73,20.56,81,17.74,1436.94,Wholesale,195,78.68,64.22
1137,Tamil Nadu,203.24,23,Small,146.96,48.34,21,49.75,1044.75,Online,125,40.68,147.85
1138,Chandigarh,530.59,19,Medium,78.11,87.58,65,84.81,5512.65,Wholesale,13,82.41,43.17
1139,Tamil Nadu,924.27,39,Medium,934.63,42.34,199,47.1,9372.9,Online,735,72.2,75.5
1140,Karnataka,683.19,86,Medium,680.07,48.07,452,47.69,21555.88,Retail,228,15.49,186.91
1141,Telangana,922.04,91,Small,39.05,67.65,2,64.88,129.76,Retail,37,91.21,64.28
1142,Rajasthan,390.66,31,Small,486.92,25.48,244,25.73,6278.12,Wholesale,242,89.26,55.32
1143,West Bengal,409.51,99,Large,947.83,69.16,20,73.88,1477.6,Retail,927,87.48,113.95
1144,Madhya Pradesh,781.74,21,Large,980.59,90.69,137,94.14,12897.18,Wholesale,843,69.8,33.66
1145,Delhi,609.04,53,Large,231.88,50.78,224,52.1,11670.4,Retail,7,88.14,100.1
1146,Madhya Pradesh,792.47,84,Small,770.51,26.82,189,30.58,5779.62,Online,581,38.99,24.46
1147,Delhi,933.02,97,Medium,739.41,81.51,630,86.24,54331.2,Online,109,20.49,130.39
1148,Gujarat,708.56,94,Large,897.29,47.0,120,45.74,5488.8,Online,777,84.39,142.04
1149,Chandigarh,936.27,59,Small,471.82,44.59,369,43.92,16206.48,Online,102,58.2,102.27
1150,West Bengal,293.43,35,Medium,839.04,73.1,490,75.14,36818.6,Online,349,86.94,160.89
1151,Jharkhand,105.81,12,Medium,78.09,85.93,73,81.93,5980.89,Online,5,96.7,140.42
1152,West Bengal,327.49,32,Medium,358.06,39.69,300,39.86,11958.0,Wholesale,58,74.89,139.06
1153,Delhi,689.88,21,Small,933.08,66.08,106,62.13,6585.78,Online,827,16.72,71.66
1154,Delhi,695.28,39,Medium,764.02,34.1,516,31.67,16341.72,Online,248,13.42,160.53
1155,Gujarat,769.87,29,Medium,506.35,31.99,407,30.29,12328.03,Retail,99,72.06,71.17
1156,Maharashtra,781.13,39,Medium,45.59,98.0,8,100.84,806.72,Wholesale,37,39.64,120.6
1157,Gujarat,434.68,89,Large,829.62,30.35,324,28.85,9347.4,Retail,505,73.58,96.28
1158,Tamil Nadu,535.05,69,Large,332.15,13.54,57,10.74,612.18,Wholesale,275,45.05,151.08
1159,Chandigarh,934.86,53,Small,976.64,53.25,949,51.11,48503.39,Online,27,62.11,85.7
1160,Delhi,494.15,65,Medium,985.48,75.29,288,76.96,22164.48,Wholesale,697,38.64,66.73
1161,Karnataka,363.91,75,Small,124.55,64.46,90,65.59,5903.1,Wholesale,34,40.89,139.67
1162,West Bengal,528.65,41,Medium,127.76,52.24,61,53.2,3245.2,Wholesale,66,41.53,175.52
1163,Gujarat,977.9,64,Large,616.79,90.02,144,94.0,13536.0,Retail,472,69.64,95.22
1164,Haryana,68.84,95,Large,659.02,53.89,511,58.81,30051.91,Online,148,59.9,109.48
1165,Chandigarh,17.89,82,Small,908.96,81.67,787,81.72,64313.64,Retail,121,64.3,175.69
1166,Haryana,173.54,67,Small,178.25,27.37,123,31.42,3864.66,Wholesale,55,99.1,81.06
1167,Telangana,591.8,56,Small,988.32,93.02,899,94.59,85036.41,Wholesale,89,92.03,197.32
1168,Tamil Nadu,550.09,90,Large,597.28,45.62,52,41.39,2152.28,Wholesale,545,32.95,62.82
1169,Kerala,591.94,14,Large,377.88,40.63,137,36.08,4942.96,Online,240,67.31,53.97
1170,Delhi,177.27,27,Large,474.67,47.88,221,44.0,9724.0,Online,253,39.39,73.84
1171,Kerala,521.6,87,Small,624.84,35.29,366,38.27,14006.82,Wholesale,258,97.5,171.47
1172,Delhi,436.48,55,Medium,143.48,84.68,34,82.92,2819.28,Wholesale,109,55.28,50.7
1173,Delhi,138.34,42,Large,752.39,70.52,495,67.94,33630.3,Wholesale,257,10.19,66.2
1174,Haryana,505.8,35,Large,877.14,26.87,485,22.78,11048.3,Retail,392,81.27,164.76
1175,Bihar,93.22,31,Medium,340.62,65.71,42,61.83,2596.86,Online,298,83.08,143.0
1176,Madhya Pradesh,536.2,97,Medium,310.76,46.24,278,41.98,11670.44,Wholesale,32,79.97,63.29
1177,Madhya Pradesh,238.1,10,Medium,603.3,78.68,455,81.2,36946.0,Wholesale,148,65.31,84.92
1178,Uttar Pradesh,848.75,58,Small,503.77,69.95,282,73.59,20752.38,Online,221,70.66,198.73
1179,Gujarat,390.11,27,Medium,235.01,65.57,142,68.12,9673.04,Wholesale,93,91.74,183.92
1180,Delhi,576.9,41,Large,97.03,32.13,58,32.97,1912.26,Online,39,89.54,33.34
1181,Bihar,846.82,42,Medium,152.8,61.52,111,57.76,6411.36,Wholesale,41,61.36,44.74
1182,Chandigarh,384.85,46,Small,492.94,14.94,21,12.06,253.26,Wholesale,471,40.62,33.68
1183,Delhi,980.28,98,Medium,850.28,16.54,90,18.71,1683.9,Wholesale,760,94.08,34.38
1184,Delhi,353.43,21,Small,297.89,82.85,2,81.18,162.36,Online,295,96.07,145.6
1185,Uttar Pradesh,408.05,21,Large,846.54,35.34,117,36.52,4272.84,Retail,729,97.06,84.98
1186,Tamil Nadu,82.84,90,Large,680.47,85.47,203,87.38,17738.14,Retail,477,31.22,185.18
1187,Maharashtra,340.74,10,Large,259.16,35.96,129,39.15,5050.35,Wholesale,130,50.96,93.39
1188,Delhi,281.71,86,Medium,752.32,11.21,310,8.43,2613.3,Retail,442,51.26,77.38
1189,Jharkhand,484.68,84,Medium,759.31,13.43,381,9.37,3569.97,Wholesale,378,70.67,156.02
1190,Karnataka,861.6,19,Large,620.08,50.32,341,50.23,17128.43,Wholesale,279,95.14,157.86
1191,Jharkhand,741.05,40,Small,798.33,40.67,137,40.19,5506.03,Retail,661,71.18,99.79
1192,Kerala,611.21,27,Small,21.93,32.93,14,28.04,392.56,Retail,7,34.82,73.69
1193,Bihar,408.9,71,Medium,129.45,65.45,48,66.03,3169.44,Online,81,85.73,68.18
1194,West Bengal,444.53,70,Small,724.59,83.59,520,83.23,43279.6,Wholesale,204,76.6,80.25
1195,Maharashtra,850.21,89,Small,16.25,63.96,2,66.52,133.04,Online,14,53.03,185.17
1196,Rajasthan,612.62,74,Medium,881.58,38.5,690,40.11,27675.9,Retail,191,72.59,177.28
1197,Madhya Pradesh,361.49,69,Large,638.55,71.06,165,71.44,11787.6,Wholesale,473,22.27,126.2
1198,Bihar,598.46,86,Large,327.02,64.88,237,59.91,14198.67,Wholesale,90,16.35,110.51
1199,Uttar Pradesh,259.15,37,Medium,357.27,36.88,77,38.84,2990.68,Retail,280,98.6,44.61
1200,Karnataka,274.4,90,Small,928.75,59.92,601,62.99,37856.99,Retail,327,99.92,54.07
1201,Uttar Pradesh,246.74,30,Small,172.75,66.64,12,71.39,856.68,Online,160,63.74,39.94
1202,Delhi,634.73,93,Large,683.43,18.25,244,19.58,4777.52,Retail,439,60.1,182.92
1203,Gujarat,625.93,79,Medium,484.45,80.02,214,76.34,16336.76,Online,270,22.13,71.63
1204,Delhi,471.12,65,Large,834.02,18.38,439,19.25,8450.75,Retail,395,58.53,49.97
1205,Gujarat,870.4,68,Medium,849.59,48.31,70,47.96,3357.2,Online,779,17.39,165.23
1206,Chandigarh,607.67,89,Large,53.89,94.21,9,92.84,835.56,Online,44,13.67,100.5
1207,Delhi,292.75,76,Small,230.26,94.44,60,95.76,5745.6,Retail,170,47.35,129.45
1208,Delhi,59.76,39,Medium,126.76,10.62,93,10.0,930.0,Retail,33,83.52,50.69
1209,Delhi,471.06,59,Small,536.99,11.53,462,14.48,6689.76,Wholesale,74,86.86,142.12
1210,Rajasthan,26.28,78,Large,125.9,56.31,17,53.33,906.61,Retail,108,39.27,164.92
1211,Maharashtra,283.31,85,Large,393.74,78.43,235,79.22,18616.7,Wholesale,158,42.38,81.0
1212,Kerala,563.44,60,Small,973.36,78.52,502,75.31,37805.62,Wholesale,471,84.01,71.78
1213,Tamil Nadu,929.02,72,Medium,791.27,88.69,71,85.26,6053.46,Retail,720,75.67,179.47
1214,Kerala,966.78,60,Small,637.41,74.14,309,70.77,21867.93,Online,328,16.9,31.09
1215,Delhi,780.95,73,Medium,25.69,16.33,23,18.1,416.3,Retail,2,56.94,122.79
1216,Karnataka,608.39,83,Large,891.63,58.03,257,59.66,15332.62,Wholesale,634,60.31,190.57
1217,Jharkhand,617.94,43,Large,828.94,17.69,556,19.74,10975.44,Wholesale,272,15.63,103.27
1218,Maharashtra,144.03,77,Medium,200.93,82.22,192,79.69,15300.48,Retail,8,45.4,100.51
1219,Jharkhand,695.77,13,Medium,270.82,27.73,13,28.12,365.56,Online,257,87.74,69.73
1220,Telangana,351.21,41,Large,234.95,57.14,73,52.67,3844.91,Retail,161,62.46,86.36
1221,Telangana,357.74,59,Large,396.74,67.77,37,66.37,2455.69,Wholesale,359,70.54,93.51
1222,Jharkhand,269.51,21,Large,441.02,79.32,201,82.16,16514.16,Wholesale,240,73.29,159.69
1223,Haryana,735.36,12,Small,662.05,19.8,394,16.49,6497.06,Online,268,21.42,29.58
1224,Madhya Pradesh,528.43,17,Small,843.28,95.52,109,97.67,10646.03,Wholesale,734,89.53,180.7
1225,Chandigarh,740.73,29,Small,487.4,84.11,267,85.01,22697.67,Retail,220,61.49,127.07
1226,Delhi,579.63,43,Large,986.41,18.91,338,14.66,4955.08,Wholesale,648,59.33,53.85
1227,Tamil Nadu,854.57,93,Small,575.27,92.01,295,93.5,27582.5,Online,280,25.34,92.39
1228,Karnataka,158.95,79,Large,739.73,14.68,435,19.27,8382.45,Wholesale,304,77.97,142.97
1229,Jharkhand,668.7,88,Large,579.35,84.22,356,79.41,28269.96,Online,223,10.83,164.76
1230,Chandigarh,846.18,19,Small,836.97,35.66,268,33.14,8881.52,Online,568,46.65,148.91
1231,Tamil Nadu,117.35,74,Small,614.0,97.94,72,101.22,7287.84,Online,542,93.14,36.99
1232,Chandigarh,214.62,50,Small,22.36,31.05,19,30.48,579.12,Online,3,78.5,130.84
1233,Karnataka,828.81,96,Small,368.41,74.86,221,76.38,16879.98,Online,147,94.98,159.66
1234,Haryana,820.38,54,Large,345.63,82.96,96,81.05,7780.8,Online,249,71.16,100.11
1235,West Bengal,900.76,24,Large,13.57,16.13,11,11.72,128.92,Wholesale,2,80.38,116.63
1236,Karnataka,733.47,25,Medium,260.77,47.95,57,49.37,2814.09,Online,203,98.28,96.14
1237,Kerala,653.14,38,Small,456.99,36.37,9,40.53,364.77,Online,447,84.55,157.58
1238,Karnataka,919.23,58,Medium,180.57,46.67,4,43.05,172.2,Wholesale,176,77.97,37.5
1239,Kerala,624.54,56,Large,593.01,69.61,472,74.58,35201.76,Retail,121,93.95,109.77
1240,Uttar Pradesh,13.25,63,Small,157.64,40.54,87,43.05,3745.35,Wholesale,70,73.48,38.57
1241,Uttar Pradesh,998.53,53,Small,90.67,68.3,74,69.42,5137.08,Retail,16,48.29,109.02
1242,Delhi,891.84,44,Large,594.37,79.49,549,81.69,44847.81,Retail,45,55.81,33.16
1243,Gujarat,239.15,18,Small,86.52,57.49,1,62.14,62.14,Wholesale,85,31.07,55.42
1244,Uttar Pradesh,707.83,98,Large,912.98,63.81,52,66.4,3452.8,Retail,860,94.08,53.73
1245,Chandigarh,848.44,19,Small,132.72,40.82,35,41.27,1444.45,Online,97,94.92,112.16
1246,Haryana,116.31,60,Medium,558.58,63.64,5,68.44,342.2,Online,553,67.64,103.99
1247,Telangana,707.69,21,Large,502.33,89.85,244,90.71,22133.24,Wholesale,258,23.64,176.29
1248,Telangana,27.55,61,Small,469.61,97.53,78,92.77,7236.06,Retail,391,98.17,93.58
1249,Delhi,561.2,71,Medium,670.03,81.4,48,80.47,3862.56,Online,622,14.67,103.95
1250,West Bengal,127.24,35,Large,496.34,96.98,245,98.77,24198.65,Retail,251,19.81,64.32
1251,Bihar,475.91,53,Medium,875.37,27.14,571,29.59,16895.89,Retail,304,46.42,105.45
1252,Delhi,277.9,12,Medium,20.59,36.58,13,35.27,458.51,Retail,7,95.94,79.58
1253,Chandigarh,115.97,43,Small,703.18,49.97,690,47.93,33071.7,Retail,13,27.4,100.23
1254,Maharashtra,753.02,54,Small,443.71,44.87,243,43.17,10490.31,Wholesale,200,11.63,160.5
1255,Rajasthan,993.92,87,Small,767.42,34.57,552,33.07,18254.64,Retail,215,41.46,129.33
1256,Delhi,539.14,13,Small,334.56,98.39,161,102.43,16491.23,Retail,173,61.69,91.28
1257,Gujarat,28.79,38,Large,788.91,27.38,778,24.57,19115.46,Retail,10,17.14,143.6
1258,Bihar,745.19,20,Small,267.34,51.67,241,53.19,12818.79,Wholesale,26,53.64,45.72
1259,Karnataka,816.07,28,Medium,171.16,71.61,157,70.92,11134.44,Retail,14,84.04,92.2
1260,Kerala,681.03,99,Large,436.22,30.38,38,33.93,1289.34,Retail,398,12.0,38.9
1261,Chandigarh,11.48,57,Medium,557.87,83.3,294,88.08,25895.52,Online,263,38.95,96.89
1262,Delhi,972.07,98,Medium,901.88,36.3,737,39.92,29421.04,Retail,164,75.01,77.53
1263,Chandigarh,257.48,45,Large,799.33,45.0,590,46.63,27511.7,Online,209,17.69,70.23
1264,Haryana,422.74,29,Small,602.97,71.2,426,68.55,29202.3,Wholesale,176,18.72,177.88
1265,Madhya Pradesh,651.8,65,Medium,757.55,26.02,476,30.97,14741.72,Online,281,67.15,189.77
1266,Delhi,101.56,47,Large,728.45,73.85,211,70.94,14968.34,Online,517,23.66,138.52
1267,Chandigarh,685.54,84,Medium,273.05,85.59,214,83.73,17918.22,Online,59,56.5,35.47
1268,Kerala,379.46,14,Large,538.15,76.31,449,73.32,32920.68,Online,89,27.02,55.92
1269,Chandigarh,823.03,26,Small,352.68,28.69,104,32.53,3383.12,Wholesale,248,30.77,137.37
1270,Haryana,463.37,39,Small,812.38,51.91,582,50.41,29338.62,Wholesale,230,31.07,123.16
1271,Chandigarh,94.9,70,Large,676.08,25.15,649,20.17,13090.33,Online,27,70.51,88.91
1272,Jharkhand,708.52,81,Small,246.92,80.91,19,84.25,1600.75,Retail,227,84.84,187.59
1273,Haryana,967.25,68,Large,31.22,45.14,8,47.33,378.64,Retail,23,93.2,192.03
1274,Maharashtra,201.81,31,Medium,264.08,82.89,108,85.23,9204.84,Online,156,51.89,122.31
1275,Bihar,910.82,56,Large,892.02,16.89,367,18.43,6763.81,Wholesale,525,82.21,198.54
1276,Uttar Pradesh,616.63,33,Large,411.82,90.18,353,91.04,32137.12,Wholesale,58,56.47,77.54
1277,Haryana,152.01,16,Large,817.91,12.17,738,13.68,10095.84,Wholesale,79,37.24,156.75
1278,Tamil Nadu,686.86,54,Medium,737.56,34.03,329,37.97,12492.13,Online,408,26.44,158.56
1279,Gujarat,552.78,64,Small,843.26,31.26,169,28.21,4767.49,Online,674,21.05,174.19
1280,Bihar,816.36,51,Large,728.72,92.03,612,96.62,59131.44,Retail,116,29.0,93.23
1281,Chandigarh,771.23,43,Medium,18.63,41.98,15,39.4,591.0,Wholesale,3,32.58,188.97
1282,Chandigarh,122.78,89,Medium,248.76,37.91,167,39.67,6624.89,Wholesale,81,17.27,38.97
1283,Kerala,893.99,91,Small,617.34,46.31,433,49.0,21217.0,Wholesale,184,58.59,97.41
1284,Delhi,233.29,68,Medium,98.62,14.19,9,17.96,161.64,Wholesale,89,95.84,73.95
1285,Uttar Pradesh,602.61,56,Medium,656.74,24.9,220,27.5,6050.0,Online,436,72.53,49.48
1286,Haryana,338.33,25,Medium,318.52,79.34,180,75.28,13550.4,Wholesale,138,71.78,156.81
1287,Telangana,492.95,47,Small,387.3,10.56,335,15.19,5088.65,Retail,52,16.0,166.96
1288,Rajasthan,299.52,28,Medium,631.86,22.25,473,27.02,12780.46,Retail,158,11.68,161.74
1289,Kerala,532.31,55,Small,611.23,90.62,218,91.17,19875.06,Retail,393,82.84,175.99
1290,Rajasthan,643.81,25,Small,678.03,72.79,282,72.4,20416.8,Online,396,38.12,111.25
1291,Delhi,545.79,25,Small,124.82,67.53,101,68.87,6955.87,Online,23,20.28,21.61
1292,Delhi,114.64,99,Small,571.43,50.97,523,50.92,26631.16,Wholesale,48,92.81,110.1
1293,Madhya Pradesh,64.51,44,Medium,493.25,60.09,216,56.95,12301.2,Online,277,74.26,69.14
1294,Chandigarh,307.08,67,Large,479.57,98.28,199,98.95,19691.05,Wholesale,280,11.32,100.65
1295,Uttar Pradesh,97.79,36,Small,123.3,85.08,25,82.79,2069.75,Online,98,17.6,31.49
1296,Telangana,570.3,73,Small,749.32,38.62,552,33.72,18613.44,Retail,197,81.3,27.87
1297,Telangana,612.17,53,Large,644.91,78.79,524,74.0,38776.0,Retail,120,76.51,34.15
1298,Maharashtra,886.54,59,Medium,31.15,25.98,4,25.85,103.4,Online,27,58.78,38.47
1299,Karnataka,717.14,19,Small,779.44,64.68,26,68.73,1786.98,Online,753,59.52,51.13
1300,Chandigarh,526.6,60,Large,641.05,77.61,169,80.43,13592.67,Online,472,31.64,120.77
1301,Chandigarh,702.38,52,Medium,282.29,51.3,174,52.25,9091.5,Wholesale,108,57.17,184.66
1302,Madhya Pradesh,795.38,25,Large,788.79,93.28,767,92.87,71231.29,Wholesale,21,93.38,73.17
1303,Delhi,457.47,27,Medium,742.42,29.74,309,27.2,8404.8,Wholesale,433,91.88,44.77
1304,Karnataka,936.58,12,Medium,353.52,95.27,153,94.74,14495.22,Online,200,55.96,175.14
1305,Delhi,707.65,68,Medium,909.36,40.36,433,35.69,15453.77,Online,476,63.9,66.82
1306,Madhya Pradesh,979.2,95,Small,923.74,98.45,682,101.84,69454.88,Retail,241,90.23,127.77
1307,Haryana,347.29,53,Small,389.72,41.7,327,41.18,13465.86,Wholesale,62,70.01,122.44
1308,Karnataka,458.16,67,Large,145.38,52.5,144,50.28,7240.32,Online,1,29.05,116.16
1309,Madhya Pradesh,485.43,32,Large,695.69,80.4,304,78.42,23839.68,Wholesale,391,48.13,137.66
1310,Uttar Pradesh,372.28,50,Large,845.41,47.2,371,49.08,18208.68,Retail,474,32.81,64.24
1311,Uttar Pradesh,207.52,52,Medium,555.48,97.83,10,101.06,1010.6,Retail,545,89.01,22.57
1312,Telangana,473.53,86,Large,777.2,23.68,224,23.98,5371.52,Online,553,80.18,80.88
1313,Telangana,989.62,10,Large,516.71,46.39,313,48.17,15077.21,Retail,203,48.58,57.86
1314,Kerala,534.63,32,Large,68.86,90.47,67,88.27,5914.09,Online,1,72.5,183.94
1315,Chandigarh,272.09,35,Small,396.73,48.32,340,51.48,17503.2,Retail,56,78.79,95.43
1316,Haryana,845.44,49,Medium,64.26,70.75,30,70.83,2124.9,Retail,34,64.93,46.34
1317,Karnataka,122.04,79,Large,311.06,81.4,246,83.96,20654.16,Retail,65,87.02,164.91
1318,Karnataka,769.07,16,Medium,459.4,72.58,290,69.49,20152.1,Retail,169,81.9,124.88
1319,Tamil Nadu,964.9,41,Large,92.53,12.11,18,8.18,147.24,Online,74,92.39,123.21
1320,Telangana,82.91,99,Large,912.24,59.71,132,59.86,7901.52,Online,780,55.68,91.78
1321,Haryana,600.78,88,Large,663.22,40.96,208,38.9,8091.2,Retail,455,73.22,21.08
1322,Jharkhand,926.79,90,Large,133.47,99.37,51,102.33,5218.83,Retail,82,34.53,155.61
1323,Jharkhand,259.73,69,Medium,495.09,64.61,148,67.14,9936.72,Retail,347,45.63,117.28
1324,Delhi,415.6,15,Medium,941.71,40.15,342,39.22,13413.24,Retail,599,27.47,125.39
1325,Delhi,190.86,30,Medium,20.58,54.69,7,57.01,399.07,Wholesale,13,86.9,106.77
1326,Delhi,193.5,65,Medium,244.39,84.78,99,79.93,7913.07,Retail,145,12.09,130.9
1327,Bihar,151.25,68,Large,28.42,33.16,25,31.11,777.75,Online,3,10.66,63.6
1328,Delhi,291.82,77,Medium,456.46,57.42,89,55.82,4967.98,Online,367,74.14,165.83
1329,Delhi,818.78,44,Large,818.48,86.39,588,87.05,51185.4,Retail,230,95.1,115.53
1330,Maharashtra,956.18,98,Small,559.12,61.11,366,61.17,22388.22,Retail,193,95.64,78.51
1331,Delhi,352.87,49,Medium,734.1,56.93,359,53.77,19303.43,Retail,375,73.08,196.29
1332,Uttar Pradesh,58.59,82,Small,963.16,89.01,429,92.35,39618.15,Online,534,73.75,150.18
1333,Chandigarh,642.08,74,Medium,989.42,12.43,940,8.07,7585.8,Online,49,49.25,28.9
1334,Gujarat,811.28,31,Large,458.7,48.94,117,44.1,5159.7,Online,341,94.03,70.9
1335,Haryana,94.52,35,Large,447.35,34.7,125,32.71,4088.75,Online,322,98.8,137.06
1336,Madhya Pradesh,449.66,68,Large,127.43,49.39,71,49.29,3499.59,Online,56,45.89,178.41
1337,Delhi,754.01,63,Large,307.29,69.69,286,74.23,21229.78,Retail,21,35.02,131.22
1338,Delhi,488.96,11,Medium,987.13,74.09,860,71.08,61128.8,Retail,127,97.87,187.62
1339,Delhi,658.13,55,Medium,198.42,25.71,86,26.57,2285.02,Online,112,58.18,160.85
1340,Maharashtra,325.27,92,Small,360.65,47.81,86,51.3,4411.8,Wholesale,274,36.03,104.5
1341,Telangana,697.13,29,Medium,37.01,50.17,27,49.17,1327.59,Retail,10,21.31,34.86
1342,Telangana,275.93,53,Large,956.43,19.04,419,20.77,8702.63,Retail,537,37.05,159.17
1343,Delhi,509.11,58,Medium,105.23,59.73,50,60.32,3016.0,Retail,55,18.51,94.08
1344,Delhi,809.14,73,Medium,205.21,90.57,115,93.05,10700.75,Online,90,81.37,82.42
1345,Haryana,441.43,96,Small,499.13,18.67,240,16.92,4060.8,Retail,259,41.25,47.84
1346,Gujarat,525.1,84,Small,869.86,94.0,91,92.81,8445.71,Wholesale,778,97.19,57.72
1347,Madhya Pradesh,495.58,52,Medium,657.74,78.15,88,83.14,7316.32,Retail,569,89.41,87.59
1348,Delhi,333.17,68,Large,378.91,21.1,297,22.96,6819.12,Retail,81,63.07,153.79
1349,Chandigarh,723.08,82,Large,212.4,13.69,139,14.54,2021.06,Retail,73,37.23,57.25
1350,Chandigarh,708.94,93,Medium,136.03,73.06,25,74.06,1851.5,Wholesale,111,56.0,112.48
